Finding ID,Original severity,Release blocker,Owner agent,Current applicability,Root cause,Implementation phase,Files changed,Fix commit,Regression tests,Static verification,Runtime verification,Reference comparison,Status,Remaining work
SEC-004,Medium,NO,20-AG-09,OPEN,Missing caps.,WAVE2,,,,,,,OPEN,Bound captures and channel capacities.
RUST-004,Medium,NO,20-AG-09,OPEN,Sync work in async context.,WAVE2,,,,,,,OPEN,spawn_blocking for CPU/IO-heavy work.
DB-002,Low,NO,20-AG-03,OPEN,JSON column handling + channel logic not wired.,WAVE2,,,,,,,OPEN,JSON-stringify JSON-mode columns; honor channel env vars in the CLI command.
CLI-004,Low,NO,20-AG-17,OPEN,clap vs yargs surface differences.,WAVE4,,,,,,,OPEN,"Align output streams, error formatting, broken-pipe handling."
PROTO-002,Low,NO,20-AG-13,OPEN,Version not injected.,WAVE2,,,,,,,OPEN,Share the workspace version.
CONFIG-003,Low,NO,20-AG-04,OPEN,Merge/rewrite logic divergence.,WAVE1,,,,,,,OPEN,Mirror reference key retention and URL normalization.
RUST-005,Low,NO,20-AG-09,OPEN,Assertion-style panics on external input.,WAVE2,,,,,,,OPEN,Convert to error returns.
PERF-002,Low,NO,20-AG-20,OPEN,Methodology.,WAVE5,,,,,,,OPEN,Report median with cold/warm split and equivalent-work scenarios.
RELEASE-005,Low,NO,20-AG-19,OPEN,External deps assumed.,WAVE5,,,,,,,OPEN,Bundle or document required external binaries; offline fallbacks.
ARCH-001,High,NO,20-AG-01,OPEN,Crates built as islands.,WAVE1,,,,,,,OPEN,Promote canonical types; delete mirrors.
CLI-005,High,YES,20-AG-12,OPEN,Integration seams on nearly every command.,WAVE4,,,,,,,OPEN,Implement per command over the wired crates.
UX-004,Medium,NO,20-AG-16,OPEN,Non-TTY path not implemented.,WAVE4,,,,,,,OPEN,Implement stdin-as-prompt path.
SEC-005,Low,NO,20-AG-05,OPEN,Auth UX/surface incomplete.,WAVE2,,,,,,,OPEN,Mask keys; add OAuth flows.
INFO-001,Informational,NO,20-AG-20,INFO,N/A,N/A,,,,,,,INFORMATIONAL_NO_CHANGE,Document the privacy posture.
INFO-002,Informational,NO,20-AG-03,INFO,N/A,N/A,,,,,,,INFORMATIONAL_NO_CHANGE,Wire it in (see DB-001).
INFO-003,Informational,NO,20-AG-06,INFO,N/A,N/A,,,,,,,INFORMATIONAL_NO_CHANGE,Wire the runner to a real stream.
