Feature ID,Area,Reference feature,Reference source location,Reference entry point,Rust status,Rust source location,Rust production entry point,Unit tested,Integration tested,End-to-end tested,Behaviorally compatible,Error compatible,Cross-platform verified,Security reviewed,Evidence,Gap,Severity,Release blocker,Recommended action
F017,Commands,`opencode attach <url>`,opencode/src/cli/cmd/attach.ts:8-70,attach.ts run(),PARTIAL,oc-cli/src/cli/cmd/attach.rs:39-220,attach::run(),Yes,No,Partial,Partial,Partial,No,Partial,RUNTIME: attach validates replay/fork flags and launches oc-tui against the remote HTTP/SSE contract; authenticated remote TUI now forwards server credentials,TTY behavioral/replay/fork coverage and full auth UX remain,High,Yes,Add remote TUI differential tests and complete replay/auth behavior
F018,Commands,`opencode serve` headless server,opencode/src/cli/cmd/serve.ts:7,serve.ts Server.listen,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/serve.rs:13-100,serve::run(),Yes,Yes,Yes,Partial,No,No,No,RUNTIME+TEST: starts oc-server listener/router with config-derived port, hostname, CORS, mDNS options,Full shutdown/packaging parity remains
F019,Commands,`opencode web`,opencode/src/cli/cmd/web.ts:32,web.ts,PARTIAL,oc-cli/src/cli/cmd/web.rs; oc-server/src/web.rs; oc-server/web/index.html; oc-server/web/app.js; oc-server/web/app.css,web::run(),No,No,Partial,Partial,No,No,No,RUNTIME+TEST: `opencode web` opens an embedded browser client with health discovery, session listing, message display, session creation, prompt submission
F020,Commands,`opencode acp` ACP bridge,opencode/src/cli/cmd/acp.ts:10,acp.ts AgentSideConnection,PARTIAL,oc-cli/src/cli/cmd/acp.rs:1-1380,acp::run(),Yes,Yes,Partial,Partial,Partial,No,Partial,RUNTIME+TEST: embedded server/stdio ACP now tracks in-flight prompts by session, handles session/cancel, returns stopReason=cancelled, and cleans registrations; initialize/session/config/events/permission plumbing remain connected,Full prompt/provider parity
F021,Commands,`opencode providers list` (alias auth),opencode/src/cli/cmd/providers.ts:240-300,providers.ts list(),IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/providers.rs:36-101,list(),Yes,No,Yes,Yes,No,No,No,"RUNTIME: lists credentials + env vars, correct path ~/.local/share/opencode/auth.json",none,Low,No,Golden-test output
F022,Commands,`opencode providers login`,opencode/src/cli/cmd/providers.ts:300-490,providers.ts login(),PARTIAL,oc-cli/src/cli/cmd/providers.rs:175-348; oc-provider/src/auth/login.rs; oc-server/src/builtin_auth.rs,run_login(),Yes,No,Partial,Partial,No,No,Partial,STATIC+RUNTIME+CHECK: API key + well-known flows; Unix echo suppression; CLI catalog login delegates provider selection/credential persistence to oc-provider; native OpenAI/xAI browser/headless OAuth plus manual API-key hooks are shared by CLI/server and focused auth/bootstrap tests pass,Remaining internal provider hooks and Windows terminal differential coverage remain incomplete,High,Port remaining internal OAuth hooks and cross-platform terminal coverage,
F023,Commands,`opencode providers logout`,opencode/src/cli/cmd/providers.ts:492,providers.ts logout(),IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/providers.rs:103-145,run_logout(),Yes,No,Partial,Partial,No,No,No,"STATIC: remove credential, unknown provider error",interactive select differs from clack,Low,No,-
F024,Commands,`opencode agent create`,opencode/src/cli/cmd/agent.ts:34-60,agent.ts create(),PARTIAL,oc-cli/src/cli/cmd/agent.rs:30-145,agent::run() create,Yes,Yes,Yes,Partial,No,No,No,RUNTIME+SMOKE: collision-safe markdown frontmatter generation with validated permissions/model/mode,Interactive LLM-assisted authoring parity remains,High,No,Add interactive authoring flow
F025,Commands,`opencode agent list`,opencode/src/cli/cmd/agent.ts:235,agent.ts list(),IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/agent.rs:38-70,agent::run() list,Yes,Yes,Yes,Partial,No,No,No,RUNTIME: loads project agents and modes through oc-config and lists built-in build agent,Config inheritance/details differ from reference,High,No,Add golden output tests
F026,Commands,`opencode models [provider]`,opencode/src/cli/cmd/models.ts:9-65,models.ts,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/models.rs:12-83,models::run(),No,No,Yes,Partial,No,No,No,RUNTIME: lists models.dev models sorted opencode-first; --refresh works,Only models.dev; reference also includes config-defined providers,Medium,No,Merge config providers into list
F027,Commands,`opencode stats`,opencode/src/cli/cmd/stats.ts:50-180,stats.ts,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/stats.rs:262-360,stats::run(),Yes,Yes,Yes,Partial,No,No,No,RUNTIME+SMOKE: SQLite aggregation reports sessions, model token/cost usage, and tool counts,Reference formatting/filter dimensions are incomplete,Medium
F028,Commands,`opencode export [sessionID]`,opencode/src/cli/cmd/export.ts:222-287,export.ts run(),IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/export_cmd.rs:8-80,export::run(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME: exports durable session/message/part data as JSON,Share sanitization and remote export parity remain,Medium,No,Add import/export golden fixtures
F029,Commands,`opencode import <file|url>`,opencode/src/cli/cmd/import.ts:95-180,import.ts runImport(),IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/import_cmd.rs:33-520,import::run(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: imports local JSON session records into SQLite with validation; remote http(s) share URLs use share-data endpoint fallback, JSON content-type validation, and a 10 MiB limit,Full schema, CLI E2E
F030,Commands,`opencode github install/run`,opencode/src/cli/cmd/github.ts:8-38,github.ts,PARTIAL,oc-cli/src/cli/cmd/github.rs:7-170,github::run(),Yes,No,No,Partial,No,No,No,RUNTIME+TEST: install renders a real GitHub Actions workflow from the repository origin/model and run dispatches the current CLI with event-derived prompts,Full GitHub App/OIDC/Octokit integration, PR/issue operations, and upstream workflow parity remain,Low
F031,Commands,`opencode pr <number>`,opencode/src/cli/cmd/pr.ts:9,pr.ts,PARTIAL,oc-cli/src/cli/cmd/pr.rs:8-150,pr::run(),Yes,Yes,Partial,Partial,Partial,No,Partial,RUNTIME+TEST: validates origin GitHub remotes, checks out a numbered PR with gh, and launches the existing local server/TUI lifecycle; two remote-parser tests and CLI build pass,Full fork metadata/session-link handling and terminal differential behavior remain,Low
F032,Commands,`opencode session list`,opencode/src/cli/cmd/session.ts:70-116,session.ts list(),IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/session.rs:10-39,session::run() list,Yes,Yes,Yes,Partial,No,No,No,RUNTIME: durable SQLite list supports table/JSON output and max count,Pager/format details differ,Medium,No,Add output golden tests
F033,Commands,`opencode session delete`,opencode/src/cli/cmd/session.ts:51-68,session.ts delete(),IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/session.rs:40-51,session::run() delete,Yes,Yes,Yes,Partial,No,No,No,RUNTIME: durable delete and not-found error are wired,Reference confirmation/UI behavior differs,Medium,No,Add delete golden tests
F034,Commands,`opencode db [query]`,opencode/src/cli/cmd/db.ts:8-43,db.ts QueryCommand,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/db.rs:31-43,db::run(),Yes,Yes,Yes,Partial,No,No,No,RUNTIME+SMOKE: SQL query supports JSON and TSV output through oc-database,Interactive sqlite shell remains unavailable,Medium,No,Add interactive shell
F035,Commands,`opencode db path`,opencode/src/cli/cmd/db.ts:45-52,db.ts PathCommand,IMPLEMENTED_CONNECTED,"oc-cli/src/cli/cmd/db.rs:12-21,27-30",db::run() path,No,No,Yes,Yes,No,No,No,RUNTIME: prints /root/.local/share/opencode/opencode.db honoring OPENCODE_DB,none,Low,No,-
F036,Commands,`opencode db` interactive sqlite3 shell,opencode/src/cli/cmd/db.ts:38-41,db.ts spawn sqlite3,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/db.rs:26-44,db::run(),Yes,Yes,Yes,Yes,No,No,Partial,RUNTIME: launches the system sqlite3 shell against the resolved database and returns its exit code; --query remains available for non-interactive use,Requires sqlite3 executable on PATH like the reference,Low,No,-
F037,Commands,`opencode mcp add/list/auth/logout/debug`,opencode/src/cli/cmd/mcp.ts:96-660,mcp.ts,PARTIAL,oc-cli/src/cli/cmd/mcp.rs:7-741,mcp::run(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: add/list now use span-based JSONC patching for root and nested MCP properties so unrelated comments/trailing commas survive; service-backed auth/list/logout/debug use persisted MCP OAuth state with redacted token/config output; focused CLI tests pass,Interactive browser callback and full lifecycle/output parity remain,High,Yes,Finish OAuth and interactive subcommands
F038,Commands,`opencode plugin <module>` (plug),opencode/src/cli/cmd/plug.ts:179-210,plug.ts,PARTIAL,oc-cli/src/cli/cmd/plug.rs:8-88; oc-plugin/src/install.rs; oc-server/src/server.rs; oc-config/src/v1/plugin.rs,plug::run(),Yes,Yes,Partial,Partial,No,No,Partial,RUNTIME+CHECK: local/file plugin resolution, manifest target detection, npm/git installer path, JSONC config patching, production bootstrap entrypoint resolution
F039,Commands,`opencode upgrade [target]`,opencode/src/cli/cmd/upgrade.ts:8-75,upgrade.ts Installation.upgrade,PARTIAL,oc-cli/src/cli/cmd/upgrade_cmd.rs:8-57; oc-cli/src/cli/upgrade.rs,upgrade::run(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: auto mode validates release targets, refuses downgrades, fetches release metadata/assets, verifies size and archive contents, and atomically replaces the current executable; dry-run and focused startup/install tests pass
F040,Commands,`opencode uninstall`,opencode/src/cli/cmd/uninstall.ts:26-88,uninstall.ts,PARTIAL,oc-cli/src/cli/cmd/uninstall.rs:78-157,uninstall::run(),Yes,No,Partial,Partial,No,No,No,RUNTIME+TEST: removes data/cache/config/state dirs with keep flags, supports dry-run and `--force`, reads interactive confirmation from a terminal, and returns nonzero on refusal/failure,No binary removal
F041,Commands,`opencode generate` (hidden OpenAPI),opencode/src/cli/cmd/generate.ts:6-55,generate.ts,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/generate.rs:6-11,generate::run(),Yes,Yes,Yes,Partial,No,No,No,RUNTIME+SMOKE: emits the server OpenAPI document,SDK code samples and full schema parity remain,Low,No,Add schema golden tests
F042,Commands,`opencode console`/`account` (hidden),opencode/src/cli/cmd/account.ts:178-238,account.ts,PARTIAL,oc-cli/src/cli/account.rs; oc-cli/src/cli/cmd/console.rs,account::run(),Yes,No,Partial,Partial,Partial,Partial,No,RUNTIME+TEST: device-code login/poll, browser handoff, user/org discovery, SQLite account/account_state persistence, refresh-on-expiry
F043,Commands,`opencode debug config`,opencode/src/cli/cmd/debug/config.ts:6,debug/config.ts,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/debug.rs:38-70,debug::run() config,Yes,Yes,Yes,Partial,No,No,No,RUNTIME+SMOKE: resolves and prints oc-config instance state,Some global/plugin merge details remain,Medium,No,Add config golden tests
F044,Commands,`opencode debug paths`,opencode/src/cli/cmd/debug/index.ts:80,debug/index.ts paths(),IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/debug.rs:195-213,debug::run() paths,No,No,Yes,Yes,No,No,No,RUNTIME: prints data/bin/log/repos/cache/config/state/tmp/home matching Global.Path,none,Low,No,-
F045,Commands,`opencode debug info`,opencode/src/cli/cmd/debug/index.ts:50,debug/index.ts info(),IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/debug.rs:142-214,info(),No,No,Yes,Yes,No,No,Partial,RUNTIME: prints version/os/terminal and resolved global/local plugin origins; pure mode suppresses plugin loading,Full plugin runtime loading remains tracked separately,Low,No,-
F046,Commands,`opencode debug lsp/rg/scrap/skill/snapshot/v2/agent`,opencode/src/cli/cmd/debug/*.ts,debug subcommands,PARTIAL,oc-cli/src/cli/cmd/debug.rs:46-307,debug::run(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: config/rg/file/scrap/skill/agent/v2/startup/paths/wait and snapshot track/patch/diff use local services; LSP diagnostics, workspace-symbol, and document-symbol commands now select configured servers and use the real oc-project process adapter, with focused server-selection/URI tests (2 passed); external-server E2E and remaining debug edge parity are unverified,Several debug modes and differential error/output parity remain
F047,Commands,`opencode debug file read/list`,opencode/src/cli/cmd/debug/file.ts:32-68,debug/file.ts,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/debug.rs:73-98,run_file(),No,No,Partial,Partial,No,No,No,STATIC: reads/list dirs as JSON,search not wired,Low,No,-
F048,Commands,`opencode debug startup`,opencode/src/cli/cmd/debug/startup.ts:5,debug/startup.ts,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/debug.rs:123-126,startup(),No,No,Partial,Partial,No,No,No,STATIC: prints elapsed ms,TTFB semantics differ,Low,No,-
F049,Config,Config file discovery opencode.json/jsonc/config.json,opencode/src/config/config.ts:140-160,config.ts loadFile,IMPLEMENTED_CONNECTED,"oc-config/src/load.rs:114-149,434-466; oc-server/src/server.rs:86-177",load_file()/load_instance_state(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME: production server resolves global/project config and exposes the merged projection through /config; $schema injection remains,Remote config and config write-back/live reload remain,Medium,Yes,Complete remote/update/watch parity
F050,Config,JSONC parsing + schema validation,opencode/src/config/parse.ts,config.ts,IMPLEMENTED_CONNECTED,oc-config/src/parse.rs; oc-server/src/server.rs,parse::jsonc(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME: production bootstrap parses and validates discovered config before exposing it,Reference parser acceptance and error formatting differ,Medium,No,Add parser differential fixtures
F051,Config,Deep merge precedence (mergeDeep+concatArrays),opencode/src/config/config.ts:41-51,config.ts mergeConfig,IMPLEMENTED_CONNECTED,oc-config/src/merge.rs; load.rs:184-197; oc-server/src/server.rs,merge_config(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME: production bootstrap applies global/project/.opencode precedence and instruction concatenation,Remote/account layers and write-back remain,Medium,No,Add precedence differential fixtures
F052,Config,Variable substitution in config values,opencode/src/config/variable.ts,config.ts,IMPLEMENTED_CONNECTED,oc-config/src/variable.rs; oc-server/src/server.rs,variable::substitute(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME: discovered production config passes through variable substitution,Missing-input and remote-env edge parity remain,Low,No,Add substitution executable fixture
F053,Config,Command/agent/mode markdown discovery,opencode/src/config/command.ts:agents.ts,config.ts loadState,IMPLEMENTED_CONNECTED,oc-config/src/load.rs:548-638; oc-server/src/server.rs,load_commands()/load_agents(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME: production config projection includes discovered commands, agents, and modes for server catalogs,Skill inheritance and exact discovery ordering remain,Medium
F054,Config,Legacy TOML config migration,opencode/src/config/config.ts (legacy),config.ts,IMPLEMENTED_CONNECTED,oc-config/src/load.rs:468-500; oc-server/src/server.rs,migrate_legacy_toml(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME: production global config load reaches legacy TOML migration when the legacy file exists,Migration side effects and edge compatibility remain,Low,No,Add migration executable fixture
F055,Config,Managed config dir (MDM),opencode/src/config/managed.ts,config.ts,PARTIAL,oc-config/src/managed.rs; oc-config/src/load.rs; oc-config/src/watch.rs,managed_config_dir()/load_instance_state(),Yes,Yes,Partial,Yes,No,No,Partial,"RUNTIME+TEST: platform defaults cover macOS Managed Preferences, Windows ProgramData/opencode, and Linux /etc/opencode; OPENCODE_MANAGED_CONFIG_DIR is an explicit override (with the existing test override retained), JSON/JSONC precedence is deterministic, and macOS plist conversion strips MDM metadata via plutil with portable JSON-encoded plist fixtures; focused managed unit/load tests pass",Full XML plist parsing on non-macOS and complete MDM payload/profile semantics remain outside this bounded slice,Low,No,-
F056,Config,Remote well-known/account config fetch,opencode/src/config/config.ts:187-271,config.ts fetchRemoteJson,IMPLEMENTED_CONNECTED,oc-config/src/load.rs:179-338; crates/oc-server/src/server.rs; tests/remote.rs,load_instance_state_with_remotes(),Yes,Yes,Yes,Partial,No,No,No,RUNTIME+TEST: production server reads well-known credentials from auth.json and reaches authenticated well-known/nested remote config loading with substitution, limits, redirect policy, precedence, and loopback fixture
F057,Config,Config file watcher / live reload,opencode/src/config/watcher.ts,config.ts,PARTIAL,oc-config/src/watch.rs; oc-config/tests/watch.rs; oc-server/src/server.rs; oc-plugin/src/jsonc.rs,ConfigReloadWatcher + production listener task,Yes,Yes,Partial,Partial,No,No,No,"RUNTIME+TEST: debounced polling watcher is now started with the production listener, updates the served config projection, emits config.updated while retaining last-good state on parse errors, JSONC patch spans are UTF-8-byte safe, and server PATCH writes preserve comments/trailing commas for additive/replacement-only .jsonc updates with focused API coverage","Remote/plugin sources, deletion-aware/general write-back, remote sources, and full differential parity remain",Low,No,Complete remote/write-back parity
F058,Config,OPENCODE_PERMISSION JSON override,opencode/src/config/config.ts:270-300,config.ts,PARTIAL,oc-config/src/load.rs:337-351; oc-server/src/server.rs; oc-server/src/runner.rs,load_instance_state()/permission_gate(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: production bootstrap resolves OPENCODE_PERMISSION and the runner now applies global/agent allow-deny-ask rules before tool execution,Live watcher propagation and exact reference rule precedence/semantics remain,Low,No,Complete permission policy wiring
F059,Config,tools->permission mapping + autoshare,opencode/src/config/config.ts:300-380,config.ts,PARTIAL,oc-config/src/load.rs:353-388; oc-server/src/server.rs; oc-server/src/runner.rs,load_instance_state()/authorize_tool(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: configured tool permission mappings now override runner defaults for workspace/external-directory/edit/bash/task decisions,Autoshare policy and full tool-family mapping remain incomplete,Low,No,Complete policy/share integration
F060,Project,Global XDG paths (data/cache/config/state/bin/log/repos/tmp),core/src/global.ts:10-29,global.ts Path,IMPLEMENTED_CONNECTED,oc-cli/src/cli/paths.rs:35-88,GlobalPaths::load(),Yes,No,Yes,Yes,No,No,No,RUNTIME: debug paths matches Global.Path; OPENCODE_CONFIG_DIR honored,none,Low,No,-
F061,Project,Project ID generation + worktree detection,opencode/src/project/project.ts:220-242,project.ts ProjectV2.ID,IMPLEMENTED_CONNECTED,"oc-project/src/identity.rs;oc-cli/src/cli/context.rs:24-55,74-92;oc-server/src/location.rs:58-160",Context::load() and Location::with_directory(),Yes,Yes,Partial,Partial,No,No,No,"RUNTIME+TEST: CLI and server call one shared resolver with normalized remote SHA-1; shared git-cache, root-commit, and global fallback order covered by focused identity/cache/non-Git tests; revalidated 2026-08-18",Reference ID-migration/icon-discovery/sandbox-existence edge semantics and differential coverage remain,Medium,No,-
F062,Project,Project DB persistence (project table),core/src/database/schema.gen.ts:1-30,project.ts get/set,IMPLEMENTED_CONNECTED,oc-database/src/tables.rs; oc-database/src/database.rs; oc-cli/src/cli/context.rs,Context::load() project persistence,Yes,Yes,Yes,Partial,No,No,No,RUNTIME+TEST: project helpers and idempotent upsert are wired into CLI context loading while preserving user metadata,Server/runtime-wide project listing and exact reference ID algorithm remain,High,Yes,Wire remaining project consumers
F063,Database,SQLite layer (open/query/transaction/export),core/src/database/sqlite.ts,database.ts,IMPLEMENTED_CONNECTED,oc-database/src/sqlite.rs:249-344; oc-cli/src/cli/cmd/db.rs,Sqlite::open(),Yes,Yes,Yes,Partial,No,No,No,RUNTIME+TEST: server persistence, CLI db/export/import/stats, and query output use SQLite,Transaction/format edge parity remains,High
F064,Database,Full schema (19 tables),core/src/database/schema.gen.ts:1-274,migration gen,PARTIAL,oc-database/src/tables.rs; migration/gen.rs; oc-session/src/store.rs; oc-server/src/state.rs,migration::gen(),Yes,Yes,Yes,Partial,No,No,No,RUNTIME+TEST: production server opens schema and hydrates session/message/part state; oc-session now has a SQLite SessionDb adapter over session/session_message/context_epoch with a focused history test,Not every reference table has a live service consumer and all database services are not wired,High,No,Wire remaining services
F065,Database,All 38 migrations present,core/src/database/migration/*.ts (38),migration.ts up,IMPLEMENTED_CONNECTED,oc-database/src/migration/ (38 files),migration/mod.rs,Yes,Yes,Yes,Partial,No,No,No,RUNTIME+TEST: migration runner applies the Rust migration set on database open,Migration semantics still need cross-version differential fixtures,High,No,Add migration compatibility fixtures
F066,Database,DB path / OPENCODE_DB env,core/src/database/database.ts,database.ts path(),IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/db.rs:12-21,database_path(),No,No,Yes,Yes,No,No,No,RUNTIME: db path matches,none,Low,No,-
F067,Snapshot,Snapshot tracking (git patches),opencode/src/snapshot/index.ts,snapshot.ts,IMPLEMENTED_CONNECTED,oc-project/src/snapshot/mod.rs; oc-server/src/instance_handlers.rs; oc-server/tests/api.rs,snapshot track/restore,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: debug snapshot track/patch/diff and v2 revert commit exercise the git-backed snapshot runtime with macOS path normalization,Native worktree/project lifecycle and all snapshot edge semantics remain,Medium,No,Complete worktree parity
F068,Worktree,Worktree mgmt (create/reset/remove),opencode/src/worktree/index.ts,worktree.ts,IMPLEMENTED_CONNECTED,oc-project/src/worktree/mod.rs; oc-server/src/instance_handlers.rs; oc-server/tests/api.rs,/experimental/worktree,Yes,Yes,Yes,Partial,No,No,No,RUNTIME+TEST: list/create/remove/reset routes call the git-backed Worktree service; API test creates, lists, and removes a real worktree,Start-command/bootstrap and edge lifecycle parity remain,Medium
F069,Server,HTTP server listen + lifecycle,opencode/src/server/server.ts:190-200,Server.listen,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/serve.rs:40-100; oc-server/src/server.rs,listen(),Yes,Yes,Yes,Partial,No,No,No,RUNTIME+SMOKE: executable serves the Axum router with startup/shutdown lifecycle,Packaging/discovery parity remains,Critical,No,Add lifecycle differential tests
F070,Server,v1 route tree (100+ routes),packages/server/src/routes.ts; opencode/src/server/routes/instance/httpapi,routes.ts,IMPLEMENTED_CONNECTED,oc-server/src/router.rs:63-288; tests/route_table.rs,router::build(),Yes,Yes,Yes,Partial,No,No,No,TEST+SMOKE: route-table golden and live server/API suites pass,Some handler behavior remains partial,High,Yes,Finish handler parity
