Command,Scenario,Reference exit code,Rust exit code,Reference stdout,Rust stdout,Reference stderr,Rust stderr,Equivalent,Difference category,Evidence,Severity,Release blocker
run,run --mini,1,1,[EMPTY],[EMPTY],[70B] \e[91m\e[1mError: \e[0m--mini must be used without the run subcommand,[71B] \e[91m\e[1mError:  \e[0m--mini must be used without the run subcommand,False,STDERR_DIFFERENCE,both exit 1 '--mini must be used without the run subcommand',Low,no
run,run --demo,1,1,[EMPTY],[EMPTY],[46B] \e[91m\e[1mError: \e[0m--demo requires --mini,[47B] \e[91m\e[1mError:  \e[0m--demo requires --mini,False,STDERR_DIFFERENCE,both exit 1 '--demo requires --mini',Low,no
run,run --replay-limit 0,1,1,[EMPTY],[EMPTY],[54B] \e[91m\e[1mError: \e[0m--replay-limit requires --mini,[55B] \e[91m\e[1mError:  \e[0m--replay-limit requires --mini,False,STDERR_DIFFERENCE,both exit 1 'requires --mini',Low,no
run,run --replay-limit -1,1,1,[EMPTY],[EMPTY],[54B] \e[91m\e[1mError: \e[0m--replay-limit requires --mini,[164B] error: unexpected argument '-1' found,False,PARSING_DIFFERENCE,ref parses -1 as number -> 'requires --mini'; rust clap rejects '-1' as unknown arg,Low,no
run,run --mini --command ls,1,1,[EMPTY],[EMPTY],[60B] \e[91m\e[1mError: \e[0m--mini cannot be used with --command,[61B] \e[91m\e[1mError:  \e[0m--mini cannot be used with --command,False,STDERR_DIFFERENCE,both exit 1 '--mini cannot be used with --command',Low,no
run,run --format json --mini,1,1,[EMPTY],[EMPTY],[70B] \e[91m\e[1mError: \e[0m--mini must be used without the run subcommand,[71B] \e[91m\e[1mError:  \e[0m--mini must be used without the run subcommand,False,STDERR_DIFFERENCE,both exit 1 '--mini must be used without run subcommand',Low,no
run,run --format bogus,1,1,[EMPTY],[EMPTY],[3053B] opencode run [message..],[125B] error: invalid value 'bogus' for '--format <FORMAT>',False,STDERR_DIFFERENCE,"both exit 1 invalid format; ref shows help, rust clap error",Low,no
run,run --format json --format default,1,1,[EMPTY],[EMPTY],[63B] \e[91m\e[1mError: \e[0mYou must provide a message or a command,[151B] error: the argument '--format <FORMAT>' cannot be used multiple times,False,PARSING_DIFFERENCE,ref accepts repeated flag (last wins) -> message error; rust 'cannot be used multiple times',Medium,no
run,run -m a/b -m c/d,1,1,[EMPTY],[EMPTY],[63B] \e[91m\e[1mError: \e[0mYou must provide a message or a command,[149B] error: the argument '--model <MODEL>' cannot be used multiple times,False,PARSING_DIFFERENCE,ref accepts repeated -m; rust rejects duplicate,Medium,no
run,run -v,0,0,[8B] 1.18.13,[8B] 1.18.13,[EMPTY],[EMPTY],True,NONE,version printed exit 0 both,Informational,no
run,run --version,0,0,[8B] 1.18.13,[8B] 1.18.13,[EMPTY],[EMPTY],True,NONE,version printed exit 0 both,Informational,no
run,run -- hello,0,1,[33B] Hello! How can I help you today?,[EMPTY],[33B] \e[0m,[192B] \e[91m\e[1mError:  \e[0mthe in-process opencode server is not wired ye...,False,NOT_WIRED,ref runs session (populate-- merged) exit 0; rust not wired exit 1,Critical,yes
models,models,0,0,[219B] opencode/big-pickle,[188643B] opencode/big-pickle,[EMPTY],[EMPTY],False,OUTPUT_DIFFERENCE,ref lists 8 builtin opencode free models; rust lists 180-provider models.dev catalog (cache fetch succeeded),Medium,no
models,models --refresh,0,0,[219B] opencode/big-pickle,[188643B] opencode/big-pickle,[39B] \e[92m\e[1mModels cache refreshed\e[0m,[41B] \e[92m\e[1m Models cache refreshed \e[0m,False,OUTPUT_DIFFERENCE,ref 'Models cache refreshed' no padding; rust padded ' Models cache refreshed '; model list divergence as above,Medium,no
models,models anthropic,1,0,[EMPTY],[431B] anthropic/claude-fable-5,[53B] \e[91m\e[1mError: \e[0mProvider not found: anthropic,[EMPTY],False,EXIT_CODE_DIFFERENCE,ref exit 1 'Provider not found: anthropic'; rust exit 0 lists anthropic models,Medium,no
models,models bogus-provider,1,1,[EMPTY],[EMPTY],[58B] \e[91m\e[1mError: \e[0mProvider not found: bogus-provider,[59B] \e[91m\e[1mError:  \e[0mProvider not found: bogus-provider,False,STDERR_DIFFERENCE,both exit 1; rust double-space error,Low,no
models,models --verbose opencode,0,0,[8558B] opencode/big-pickle,[74214B] opencode/big-pickle,[EMPTY],[EMPTY],False,OUTPUT_DIFFERENCE,ref normalized Model JSON (providerID/api/capabilities); rust raw api.json entries (description/release_date/cost cache_read),Medium,no
serve,serve,TIMEOUT,TIMEOUT,[118B] Warning: OPENCODE_SERVER_PASSWORD is not set; server is unsecured.,[119B] Warning: OPENCODE_SERVER_PASSWORD is not set; server is unsecured.,[EMPTY],[EMPTY],False,TIMEOUT,"both run long-lived server (timed out); ref default port 4096, rust random port (DEFAULT_DIFFERENCE); rust binds bare socket no HTTP",Critical,yes
serve,serve --port 4096,TIMEOUT,TIMEOUT,[118B] Warning: OPENCODE_SERVER_PASSWORD is not set; server is unsecured.,[118B] Warning: OPENCODE_SERVER_PASSWORD is not set; server is unsecured.,[EMPTY],[EMPTY],True,TIMEOUT,both bind 4096 and run; equivalent except rust serves no HTTP,Critical,yes
serve,serve --port 0,TIMEOUT,TIMEOUT,[118B] Warning: OPENCODE_SERVER_PASSWORD is not set; server is unsecured.,[119B] Warning: OPENCODE_SERVER_PASSWORD is not set; server is unsecured.,[EMPTY],[EMPTY],False,TIMEOUT,ref maps 0->4096; rust OS-random port,Medium,no
serve,serve --port abc,TIMEOUT,1,[119B] Warning: OPENCODE_SERVER_PASSWORD is not set; server is unsecured.,[EMPTY],[EMPTY],[115B] error: invalid value 'abc' for '--port <PORT>': invalid digit found in...,False,PARSING_DIFFERENCE,ref parses NaN->random port and starts server; rust rejects invalid value exit 1,Medium,no
serve,serve --port,TIMEOUT,1,[118B] Warning: OPENCODE_SERVER_PASSWORD is not set; server is unsecured.,[EMPTY],[EMPTY],[106B] error: a value is required for '--port <PORT>' but none was supplied,False,PARSING_DIFFERENCE,ref starts server on default; rust 'value required' exit 1,Medium,no
web,web,TIMEOUT,0,[EMPTY],[EMPTY],[4311B] \e[93m\e[1m!  OPENCODE_SERVER_PASSWORD is not set; server is unsecured...,[361B] \e[93m\e[1m !   \e[0m OPENCODE_SERVER_PASSWORD is not set; server is u...,False,NOT_WIRED,"ref serves web + prints URLs, runs; rust binds port then prints '(web interface not yet wired)' exit 0 (web.rs:81)",Critical,yes
mcp,mcp,1,1,[EMPTY],[EMPTY],[952B] opencode mcp,[640B] manage MCP (Model Context Protocol) servers,False,STDERR_DIFFERENCE,both exit 1 show help (yargs vs clap),Low,no
mcp,mcp list,0,1,[152B] ┌  MCP Servers,[EMPTY],[6B] \e[0m,[112B] \e[91m\e[1mError:  \e[0mMCP server listing is not yet wired in this bu...,False,NOT_WIRED,ref lists MCP servers exit 0; rust not wired exit 1 (mcp.rs:66),High,yes
mcp,mcp ls,0,1,[152B] ┌  MCP Servers,[EMPTY],[6B] \e[0m,[112B] \e[91m\e[1mError:  \e[0mMCP server listing is not yet wired in this bu...,False,NOT_WIRED,alias; same as mcp list,High,yes
mcp,mcp add myserver --url https://x.example/sse,0,1,[95B] │,[EMPTY],[EMPTY],[112B] \e[91m\e[1mError:  \e[0madding MCP servers is not yet wired in this bu...,False,NOT_WIRED,ref writes server to config (side effect) exit 0; rust not wired exit 1 (mcp.rs:55),High,yes
mcp,mcp auth,TIMEOUT,1,[136B] ┌  MCP OAuth Authentication,[EMPTY],[6B] \e[0m,[108B] \e[91m\e[1mError:  \e[0mMCP OAuth authentication is not yet wired in t...,False,NOT_WIRED,ref interactive OAuth selector (timed out); rust not wired exit 1 (mcp.rs:78),High,yes
mcp,mcp auth list,0,1,[127B] ┌  MCP OAuth Status,[EMPTY],[6B] \e[0m,[100B] \e[91m\e[1mError:  \e[0mMCP OAuth status is not yet wired in this buil...,False,NOT_WIRED,ref shows OAuth status exit 0; rust not wired exit 1 (mcp.rs:73),High,yes
mcp,mcp auth ls,0,1,[127B] ┌  MCP OAuth Status,[EMPTY],[6B] \e[0m,[100B] \e[91m\e[1mError:  \e[0mMCP OAuth status is not yet wired in this buil...,False,NOT_WIRED,alias; same as auth list,High,yes
mcp,mcp logout srv,0,1,[68B] ┌  MCP OAuth Logout,[EMPTY],[6B] \e[0m,[100B] \e[91m\e[1mError:  \e[0mMCP OAuth logout is not yet wired in this buil...,False,NOT_WIRED,ref exit 0 'No MCP OAuth credentials stored'; rust not wired exit 1 (mcp.rs:85),High,yes
mcp,mcp debug srv,0,1,[61B] ┌  MCP OAuth Debug,[EMPTY],[6B] \e[0m,[103B] \e[91m\e[1mError:  \e[0mMCP OAuth debugging is not yet wired in this b...,False,NOT_WIRED,ref exit 0 'MCP server not found: srv'; rust not wired exit 1 (mcp.rs:92),High,yes
attach,attach,1,1,[EMPTY],[EMPTY],[1692B] opencode attach <url>,[134B] error: the following required arguments were not provided:,False,STDERR_DIFFERENCE,"both exit 1 missing <url>; ref shows help, rust clap error",Low,no
attach,attach http://localhost:4096,0,1,[458B] \e[?2031h\e]10;?\e]11;?\e[>0q\e[?25l\e[s\e[6n\eP+q4d73\e\\e[?1016$p\...,[EMPTY],[188B] Error: Unable to connect. Is the computer able to access the url?,[131B] \e[91m\e[1mError:  \e[0mattaching the TUI to a running server is not y...,False,NOT_WIRED,"ref attempts TUI attach, renders error in TUI exit 0; rust not wired exit 1 (attach.rs:74)",Critical,yes
attach,attach http://localhost:4096 --no-replay,1,1,[EMPTY],[EMPTY],[51B] \e[91m\e[1mError: \e[0m--no-replay requires --mini,[52B] \e[91m\e[1mError:  \e[0m--no-replay requires --mini,False,STDERR_DIFFERENCE,both exit 1 '--no-replay requires --mini',Low,no
attach,attach http://localhost:4096 --mini,1,1,[EMPTY],[EMPTY],[52B] \e[91m\e[1mError: \e[0m--mini requires a TTY stdout,[105B] \e[91m\e[1mError:  \e[0mmini interactive mode is not yet wired in this...,False,EXIT_CODE_DIFFERENCE,ref exit 1 '--mini requires a TTY stdout'; rust not wired exit 1,Low,no
providers,providers,1,1,[EMPTY],[EMPTY],[818B] opencode providers,[523B] manage AI providers and credentials,False,STDERR_DIFFERENCE,"both exit 1 demand subcommand; ref shows command list, rust clap help",Low,no
providers,providers list,0,0,[75B] ┌  Credentials \e[90m~/.local/share/opencode/auth.json,[EMPTY],[6B] \e[0m,[85B] \e[0m,False,STDERR_DIFFERENCE,"both exit 0; ref box to stdout, rust to stderr with different glyphs; ref stderr only stray reset",Medium,no
providers,providers ls,0,0,[75B] ┌  Credentials \e[90m~/.local/share/opencode/auth.json,[EMPTY],[6B] \e[0m,[85B] \e[0m,False,STDERR_DIFFERENCE,alias; same as list,Medium,no
providers,providers logout,0,0,[47B] ┌  Remove credential,[EMPTY],[6B] \e[0m,[71B] \e[0m,False,STDERR_DIFFERENCE,ref 'Remove credential/No credentials found' to stdout; rust to stderr ' ✖  No credentials found',Medium,no
auth,auth,1,1,[EMPTY],[EMPTY],[808B] opencode providers,[523B] manage AI providers and credentials,False,STDERR_DIFFERENCE,alias; both exit 1,Low,no
auth,auth list,0,0,[75B] ┌  Credentials \e[90m~/.local/share/opencode/auth.json,[EMPTY],[6B] \e[0m,[85B] \e[0m,False,STDERR_DIFFERENCE,alias; same stream/glyph divergence,Medium,no
upgrade,upgrade 1.2.3,0,0,[1866B] ┌  Upgrade,[EMPTY],[180B] \e[0m,[367B] \e[0m,False,SIDE_EFFECT_DIFFERENCE,"ref downloads/installs via curl exit 0; rust 'automatic upgrades not supported' exit 0, 'Using method: unknown' (upgrade_cmd)",High,yes
upgrade,upgrade --method bogus,1,1,[EMPTY],[EMPTY],[857B] opencode upgrade [target],[152B] error: invalid value 'bogus' for '--method <METHOD>',False,STDERR_DIFFERENCE,both exit 1 invalid choice,Low,no
uninstall,uninstall --dry-run --force -c -d,0,0,[416B] ┌  Uninstall OpenCode,[EMPTY],[180B] \e[0m,[541B] \e[0m,False,STDERR_DIFFERENCE,"both exit 0 dry-run; ref box to stdout, rust to stderr with glyph/space diffs",Medium,no
stats,stats,0,1,[1125B] ┌────────────────────────────────────────────────────────┐,[EMPTY],[EMPTY],[117B] \e[91m\e[1mError:  \e[0mstats aggregation is not yet wired in this bui...,False,NOT_WIRED,ref prints OVERVIEW/COST tables exit 0; rust not wired exit 1 (stats.rs:266),High,yes
export,export,TIMEOUT,1,[EMPTY],[EMPTY],[307B] Exporting session: latest,[114B] \e[91m\e[1mError:  \e[0msession export is not yet wired in this build ...,False,NOT_WIRED,ref interactive session picker (timed out); rust not wired exit 1 (export_cmd.rs:11),High,yes
export,export ses_abc,1,1,[EMPTY],[EMPTY],[77B] Exporting session: ses_abc,[114B] \e[91m\e[1mError:  \e[0msession export is not yet wired in this build ...,False,NOT_WIRED,ref 'Session not found: ses_abc' exit 1; rust not wired exit 1,Medium,no
import,import file.json,1,1,[EMPTY],[EMPTY],[49B] \e[91m\e[1mError: \e[0mFile not found: file.json,[68B] \e[91m\e[1mError:  \e[0mUnexpected error,False,EXIT_CODE_DIFFERENCE,"both exit 1 'File not found'; ref clean error, rust 'Unexpected error'+trace",Medium,no
github,github,1,1,[EMPTY],[EMPTY],[662B] opencode github,[443B] manage GitHub agent,False,STDERR_DIFFERENCE,both exit 1 show help,Low,no
github,github install,1,1,[107B] ┌  Install GitHub agent,[EMPTY],[6B] \e[0m,[111B] \e[91m\e[1mError:  \e[0mthe GitHub agent installer is not yet wired in...,False,NOT_WIRED,ref 'Could not find git repository' exit 1; rust not wired exit 1 (github.rs:20),Medium,no
github,github run,1,1,[43B] ::error::Unsupported event type: undefined,[EMPTY],[EMPTY],[108B] \e[91m\e[1mError:  \e[0mthe GitHub agent runner is not yet wired in th...,False,NOT_WIRED,ref 'Unsupported event type: undefined' exit 1; rust not wired exit 1 (github.rs:27),Medium,no
pr,pr 123,1,1,[EMPTY],[EMPTY],[101B] \e[91m\e[1mError: \e[0mCould not find git repository. Please run this ...,[120B] \e[91m\e[1mError:  \e[0mUnexpected error,False,EXIT_CODE_DIFFERENCE,"both exit 1 'Could not find git repository'; ref clean error, rust 'Unexpected error'+trace",Medium,no
session,session list,0,1,[EMPTY],[EMPTY],[EMPTY],[115B] \e[91m\e[1mError:  \e[0msession listing is not yet wired in this build...,False,NOT_WIRED,ref lists 7 sessions (table) exit 0; rust not wired exit 1 (session.rs:12),High,yes
session,session list --format json,0,1,[EMPTY],[EMPTY],[EMPTY],[115B] \e[91m\e[1mError:  \e[0msession listing is not yet wired in this build...,False,NOT_WIRED,ref JSON array exit 0; rust not wired exit 1,High,yes
session,session delete abc123,1,1,[EMPTY],[EMPTY],[93B] \e[91m\e[1mError: \e[0mUnexpected error,[116B] \e[91m\e[1mError:  \e[0msession deletion is not yet wired in this buil...,False,NOT_WIRED,ref validates session id 'Expected a string starting with ses' exit 1; rust not wired exit 1 (session.rs:17),Medium,no
plugin,plugin somepkg,0,1,[655B] ┌  Install plugin somepkg,[EMPTY],[6B] \e[0m,[142B] ◇  Install plugin somepkg,False,NOT_WIRED,ref installs plugin + writes config (side effect) exit 0; rust not wired exit 1 (plug.rs:19),High,yes
plug,plug somepkg,TIMEOUT,1,[EMPTY],[EMPTY],[EMPTY],[142B] ◇  Install plugin somepkg,False,NOT_WIRED,alias; ref installs (timed out spinner); rust not wired exit 1,High,yes
db,db path,0,0,[61B] /tmp/opencode/agent03/home/.local/share/opencode/opencode.db,[61B] /tmp/opencode/agent03/home/.local/share/opencode/opencode.db,[EMPTY],[EMPTY],True,NONE,"byte-identical DB path stdout, exit 0 both",Informational,no
db,db path --format json,1,1,[EMPTY],[EMPTY],[556B] opencode db path,[116B] error: unexpected argument '--format' found,False,STDERR_DIFFERENCE,both exit 1 unknown arg (help vs clap),Low,no
db,db select 1,0,1,[4B] 1,[EMPTY],[EMPTY],[106B] \e[91m\e[1mError:  \e[0mdatabase queries are not yet wired in this bui...,False,NOT_WIRED,ref runs query -> '1 1' exit 0; rust not wired exit 1 (db.rs:38),High,yes
db,db,TIMEOUT,1,[EMPTY],[EMPTY],"[4677B] 662 |     var file = this.spawnfile = options.file, spawnargs;",[114B] \e[91m\e[1mError:  \e[0minteractive sqlite3 shell is not yet wired in ...,False,NOT_WIRED,"ref opens interactive sqlite3 shell (spawn trace, hung); rust not wired exit 1 (db.rs:41)",High,yes
generate,generate,0,1,[1060866B] {,[EMPTY],[EMPTY],[105B] \e[91m\e[1mError:  \e[0mopenapi generation is not yet wired in this bu...,False,NOT_WIRED,ref emits full OpenAPI JSON (1MB) to stdout exit 0; rust not wired exit 1 (generate.rs:9),High,yes
console,console,1,1,[EMPTY],[EMPTY],[812B] opencode console,[57B] \e[91m\e[1mError:  \e[0ma console subcommand is required,False,EXIT_CODE_DIFFERENCE,ref exit 1 shows command list; rust exit 1 'a console subcommand is required',Low,no
console,console login,TIMEOUT,1,[167B] ┌  Log in,[EMPTY],[4059B] \e[0m,[109B] \e[91m\e[1mError:  \e[0mthe console account flow is not yet wired in t...,False,NOT_WIRED,ref device-code flow (hung); rust not wired exit 1 (console.rs:21),High,yes
console,console logout,0,1,[EMPTY],[EMPTY],[20B] \e[0m,[109B] \e[91m\e[1mError:  \e[0mthe console account flow is not yet wired in t...,False,NOT_WIRED,ref 'Not logged in' exit 0; rust not wired exit 1,High,yes
console,console switch,0,1,[EMPTY],[EMPTY],[20B] \e[0m,[109B] \e[91m\e[1mError:  \e[0mthe console account flow is not yet wired in t...,False,NOT_WIRED,ref 'Not logged in' exit 0; rust not wired exit 1,High,yes
console,console orgs,0,1,[EMPTY],[EMPTY],[24B] \e[0m,[109B] \e[91m\e[1mError:  \e[0mthe console account flow is not yet wired in t...,False,NOT_WIRED,ref 'No accounts found' exit 0; rust not wired exit 1,High,yes
console,console open,0,1,[EMPTY],[EMPTY],[24B] \e[0m,[109B] \e[91m\e[1mError:  \e[0mthe console account flow is not yet wired in t...,False,NOT_WIRED,ref 'No active account' exit 0; rust not wired exit 1,High,yes
debug,debug,1,1,[EMPTY],[EMPTY],[1367B] opencode debug,[73B] \e[91m\e[1mError:  \e[0mUnexpected error,False,STDERR_DIFFERENCE,"both exit 1; ref help list, rust 'a debug subcommand is required'",Low,no
debug,debug config,0,1,[239B] {,[EMPTY],[EMPTY],[104B] \e[91m\e[1mError:  \e[0mconfig resolution is not yet wired in this bui...,False,NOT_WIRED,ref resolved-config JSON exit 0; rust not wired exit 1 (debug.rs:42),High,yes
debug,debug info,0,0,[86B] opencode version: 1.18.13,[91B] opencode version: 1.18.13,[EMPTY],[EMPTY],False,OUTPUT_DIFFERENCE,"both exit 0; ref 'os: Linux 6.8.0-90-generic x64', rust 'os: linux Ubuntu 24.04.4 LTS x86_64'",Low,no
debug,debug paths,0,0,[480B] home       /tmp/opencode/agent03/home,[480B] data       /tmp/opencode/agent03/home/.local/share/opencode,[EMPTY],[EMPTY],False,OUTPUT_DIFFERENCE,"both exit 0; ref order home,data,bin..; rust order data,bin..,home last",Low,no
debug,debug scrap,0,1,[157B] [,[EMPTY],[EMPTY],[103B] \e[91m\e[1mError:  \e[0mproject listing is not yet wired in this build...,False,NOT_WIRED,ref project JSON exit 0; rust not wired exit 1 (debug.rs:103),High,yes
debug,debug skill,0,1,[17450B] [,[EMPTY],[EMPTY],[101B] \e[91m\e[1mError:  \e[0mskill listing is not yet wired in this build (...,False,NOT_WIRED,ref skill JSON (17KB) exit 0; rust not wired exit 1 (debug.rs:109),High,yes
debug,debug snapshot track,0,1,[10B] undefined,[EMPTY],[EMPTY],[106B] \e[91m\e[1mError:  \e[0msnapshot debugging is not yet wired in this bu...,False,NOT_WIRED,ref 'undefined' exit 0; rust not wired exit 1 (debug.rs:118),High,yes
debug,debug startup,0,0,[12B] 1445.676302,[6B] 0.000,[EMPTY],[EMPTY],False,OUTPUT_DIFFERENCE,ref real startup ms (~1445); rust literal '0.000' (debug.rs:124),Medium,no
debug,debug v2,0,1,[168B] {,[EMPTY],[EMPTY],[106B] \e[91m\e[1mError:  \e[0mcatalog debugging is not yet wired in this bui...,False,NOT_WIRED,ref catalog JSON exit 0; rust not wired exit 1 (debug.rs:137),High,yes
debug,debug wait,TIMEOUT,TIMEOUT,[EMPTY],[EMPTY],[EMPTY],[EMPTY],True,NONE,both hang (timed out); signal behavior identical,Informational,no
--print-logs,--print-logs,0,0,[EMPTY],[EMPTY],[EMPTY],[EMPTY],True,SILENT_FLAG,"ref prints INFO logs to stderr on models --print-logs; rust accepts flag, emits no logs",Medium,yes
NO_COLOR,NO_COLOR,0,0,[EMPTY],[EMPTY],[EMPTY],[EMPTY],True,NONE,NO_COLOR=1 ignored by BOTH binaries (ANSI kept on error text) - equivalent,Informational,no
invalid-utf8,invalid-utf8,0,1,[EMPTY],[EMPTY],[EMPTY],[EMPTY],False,PARSING_DIFFERENCE,invalid UTF-8 arg to run: ref accepts (runs LLM) exit 0; rust clap 'invalid UTF-8 detected' exit 1,Low,no
unicode,unicode,0,1,[EMPTY],[EMPTY],[EMPTY],[EMPTY],False,OUTPUT_DIFFERENCE,unicode args 'héllo wörld 日本語 🎉' to run: ref streams JSON events fine; rust not-wired error,Informational,no
broken-pipe,broken-pipe,0,1,[EMPTY],[EMPTY],[EMPTY],[EMPTY],False,EXIT_CODE_DIFFERENCE,"models | head -1: ref exits 0 silently; rust prints 'Broken pipe (os error 32)' to stderr, exit 1",Medium,yes
